,term,class_number,num_people_enrolled,total_class_size,Prof Name
1010,Fall 2011,CSC 898 [01 ],0,0,To be announced
1011,Fall 2011,CSC 899 [01 ],0,0,To be announced
1012,Fall 2011,CSC 899 [02 ],0,0,To be announced
1013,Fall 2011,CSC 899 [03 ],1,0,To be announced
1014,Fall 2011,CSC 898 [01 ],0,0,To be announced
1015,Fall 2011,CSC 899 [01 ],0,0,To be announced
1016,Fall 2011,CSC 899 [02 ],0,0,To be announced
1017,Fall 2011,CSC 899 [03 ],1,0,To be announced
1018,Spring 2012,CSC 101 [01 ],71,70,Jd Roberts
1019,Spring 2012,CSC 210 [01 ],43,35,Marc Sosnick
1020,Spring 2012,CSC 210 [02 ],34,35,Ilmi Yoon
1021,Spring 2012,CSC 210 [03 ],39,35,Tsun-Yuk Hsu
1022,Spring 2012,CSC 210 [04 ],35,35,Cassidy Kelly
1023,Spring 2012,CSC 211 [01 ],36,40,Chin Wong
1024,Spring 2012,CSC 220 [01 ],36,30,Chin Wong
1025,Spring 2012,CSC 220 [02 ],31,25,Chin Wong
1026,Spring 2012,CSC 230 [01 ],14,30,Daniel Tomasevich
1027,Spring 2012,CSC 230 [02 ],42,40,Marc Sosnick
1028,Spring 2012,CSC 256 [01 ],43,35,Tsun-Yuk Hsu
1029,Spring 2012,CSC 300GW [01 ],24,25,Daniel Tomasevich
1030,Spring 2012,CSC 300GW [02 ],20,25,Daniel Tomasevich
1031,Spring 2012,CSC 340 [01 ],26,30,Jozo Dujmovic
1032,Spring 2012,CSC 340 [02 ],30,30,Jozo Dujmovic
1033,Spring 2012,CSC 413 [01 ],24,25,Barry Levine
1034,Spring 2012,CSC 413 [02 ],25,25,Barry Levine
1035,Spring 2012,CSC 415 [01 ],40,30,Marguerite Murphy
1036,Spring 2012,CSC 510 [01 ],48,35,Robert Wall
1037,Spring 2012,CSC 520 [01 ],40,35,Robert Wall
1038,Spring 2012,CSC 600 [01 ],38,30,Jozo Dujmovic
1039,Spring 2012,CSC 615 [01 ],14,25,Marguerite Murphy
1040,Spring 2012,CSC 621 [01 ],10,15,Kazunori Okada
1041,Spring 2012,CSC 656 [01 ],16,30,Tsun-Yuk Hsu
1042,Spring 2012,CSC 667 [01 ],21,20,Ilmi Yoon
1043,Spring 2012,CSC 668 [01 ],15,15,Barry Levine
1044,Spring 2012,CSC 693 [01 ],0,25,Dragutin Petkovic
1045,Spring 2012,CSC 693 [02 ],0,25,Dragutin Petkovic
1046,Spring 2012,CSC 694 [01 ],0,15,Dragutin Petkovic
1047,Spring 2012,CSC 694 [02 ],0,15,Dragutin Petkovic
1048,Spring 2012,CSC 694 [03 ],0,15,Dragutin Petkovic
1049,Spring 2012,CSC 695 [01 ],20,25,Barry Levine
1050,Spring 2012,CSC 697 [01 ],0,15,To be announced
1051,Spring 2012,CSC 699 [01 ],0,5,Jozo Dujmovic
1052,Spring 2012,CSC 699 [02 ],0,5,Jozo Dujmovic
1053,Spring 2012,CSC 699 [03 ],0,5,Tsun-Yuk Hsu
1054,Spring 2012,CSC 720 [01 ],22,12,Marguerite Murphy
1055,Spring 2012,CSC 780 [01 ],16,15,Arno Puder
1056,Spring 2012,CSC 810 [01 ],9,25,Chin Wong
1057,Spring 2012,CSC 821 [01 ],6,10,Kazunori Okada
1058,Spring 2012,CSC 840 [01 ],12,15,Jozo Dujmovic
1059,Spring 2012,CSC 867 [01 ],11,20,Ilmi Yoon
1060,Spring 2012,CSC 868 [01 ],9,15,Barry Levine
1061,Spring 2012,CSC 869 [01 ],11,15,Hui Yang
1062,Spring 2012,CSC 890 [01 ],8,10,Rahul Singh
1063,Spring 2012,CSC 893 [01 ],4,35,Dragutin Petkovic
1064,Spring 2012,CSC 895 [01 ],0,5,To be announced
1065,Spring 2012,CSC 897 [01 ],0,5,To be announced
1066,Spring 2012,CSC 897 [02 ],0,5,To be announced
1067,Spring 2012,CSC 897 [03 ],0,5,To be announced
1068,Spring 2012,CSC 897 [04 ],0,5,To be announced
1069,Spring 2012,CSC 898 [01 ],0,5,To be announced
1070,Spring 2012,CSC 899 [01 ],0,0,Rahul Singh
1071,Spring 2012,CSC 899 [02 ],0,0,To be announced
1072,Spring 2012,CSC 899 [03 ],0,0,To be announced
1073,Spring 2012,CSC 897 [04 ],0,5,To be announced
1074,Spring 2012,CSC 898 [01 ],0,5,To be announced
1075,Spring 2012,CSC 899 [01 ],0,0,Rahul Singh
1076,Spring 2012,CSC 899 [02 ],0,0,To be announced
1077,Spring 2012,CSC 899 [03 ],0,0,To be announced
1078,Spring 2012,CSC 897 [04 ],0,5,To be announced
1079,Spring 2012,CSC 898 [01 ],0,5,To be announced
1080,Spring 2012,CSC 899 [01 ],0,0,Rahul Singh
1081,Spring 2012,CSC 899 [02 ],0,0,To be announced
1082,Spring 2012,CSC 899 [03 ],0,0,To be announced
1083,Spring 2012,CSC 897 [04 ],0,5,To be announced
1084,Spring 2012,CSC 898 [01 ],0,5,To be announced
1085,Spring 2012,CSC 899 [01 ],0,0,Rahul Singh
1086,Spring 2012,CSC 899 [02 ],0,0,To be announced
1087,Spring 2012,CSC 899 [03 ],0,0,To be announced
1088,Fall 2012,CSC 101 [01 ],40,70,Jd Roberts
1089,Fall 2012,CSC 206 [01 ],34,35,Teague Sterling
1090,Fall 2012,CSC 210 [01 ],33,30,Victor Woeltjen
1091,Fall 2012,CSC 210 [02 ],41,35,Tsun-Yuk Hsu
1092,Fall 2012,CSC 210 [03 ],43,35,Marc Sosnick
1093,Fall 2012,CSC 210 [04 ],43,35,Marc Sosnick
1094,Fall 2012,CSC 210 [05 ],43,35,Cassidy Kelly
1095,Fall 2012,CSC 211 [01 ],33,35,Chin Wong
1096,Fall 2012,CSC 220 [01 ],30,30,Chin Wong
1097,Fall 2012,CSC 220 [02 ],27,25,Chin Wong
1098,Fall 2012,CSC 220 [03 ],26,35,Jd Roberts
1099,Fall 2012,CSC 230 [01 ],33,30,Daniel Tomasevich
1100,Fall 2012,CSC 230 [02 ],45,30,Kazunori Okada
1101,Fall 2012,CSC 256 [01 ],43,35,Tsun-Yuk Hsu
1102,Fall 2012,CSC 300GW [01 ],23,25,Daniel Tomasevich
1103,Fall 2012,CSC 300GW [02 ],22,25,Daniel Tomasevich
1104,Fall 2012,CSC 340 [01 ],40,30,Jozo Dujmovic
1105,Fall 2012,CSC 340 [02 ],39,30,Hui Yang
1106,Fall 2012,CSC 413 [01 ],53,55,Barry Levine
1107,Fall 2012,CSC 415 [01 ],40,40,Marguerite Murphy
1108,Fall 2012,CSC 510 [01 ],48,45,Robert Wall
1109,Fall 2012,CSC 520 [01 ],30,35,Robert Wall
1110,Fall 2012,CSC 520 [02 ],18,35,Robert Wall
1111,Fall 2012,CSC 600 [01 ],33,30,Jozo Dujmovic
1112,Fall 2012,CSC 640 [01 ],45,35,Marc Sosnick
1113,Fall 2012,CSC 641 [01 ],15,15,Jozo Dujmovic
1114,Fall 2012,CSC 675 [01 ],22,15,Marguerite Murphy
1115,Fall 2012,CSC 690 [01 ],25,30,Tsun-Yuk Hsu
1116,Fall 2012,CSC 694 [01 ],1,10,Dragutin Petkovic
1117,Fall 2012,CSC 694 [02 ],0,10,Dragutin Petkovic
1118,Fall 2012,CSC 694 [03 ],0,10,Dragutin Petkovic
1119,Fall 2012,CSC 695 [01 ],6,20,Barry Levine
1120,Fall 2012,CSC 697 [01 ],0,0,To be announced
1121,Fall 2012,CSC 699 [01 ],0,0,To be announced
1122,Fall 2012,CSC 699 [02 ],0,0,To be announced
1123,Fall 2012,CSC 699 [03 ],1,0,Tsun-Yuk Hsu
1124,Fall 2012,CSC 720 [01 ],5,15,Arno Puder
1125,Fall 2012,CSC 775 [01 ],10,10,Marguerite Murphy
1126,Fall 2012,CSC 810 [01 ],19,20,Chin Wong
1127,Fall 2012,CSC 841 [01 ],5,10,Jozo Dujmovic
1128,Fall 2012,CSC 848 [01 ],11,25,Marc Sosnick
1129,Fall 2012,CSC 858 [01 ],13,15,Tianyun Liu
1130,Fall 2012,CSC 872 [01 ],13,15,Kazunori Okada
1131,Fall 2012,CSC 875 [01 ],12,10,Marguerite Murphy
1132,Fall 2012,CSC 890 [01 ],14,15,Hui Yang
1133,Fall 2012,CSC 893 [01 ],1,30,Dragutin Petkovic
1134,Fall 2012,CSC 895 [01 ],0,0,To be announced
1135,Fall 2012,CSC 897 [01 ],0,0,Rahul Singh
1136,Fall 2012,CSC 897 [02 ],0,0,To be announced
1137,Fall 2012,CSC 897 [03 ],0,0,To be announced
1138,Fall 2012,CSC 898 [01 ],0,0,To be announced
1139,Fall 2012,CSC 899 [01 ],0,0,To be announced
1140,Fall 2012,CSC 899 [02 ],0,0,To be announced
1141,Fall 2012,CSC 899 [03 ],0,0,To be announced
1142,Fall 2012,CSC 898 [01 ],0,0,To be announced
1143,Fall 2012,CSC 899 [01 ],0,0,To be announced
1144,Fall 2012,CSC 899 [02 ],0,0,To be announced
1145,Fall 2012,CSC 899 [03 ],0,0,To be announced
1146,Fall 2012,CSC 898 [01 ],0,0,To be announced
1147,Fall 2012,CSC 899 [01 ],0,0,To be announced
1148,Fall 2012,CSC 899 [02 ],0,0,To be announced
1149,Fall 2012,CSC 899 [03 ],0,0,To be announced
1150,Fall 2012,CSC 898 [01 ],0,0,To be announced
1151,Fall 2012,CSC 899 [01 ],0,0,To be announced
1152,Fall 2012,CSC 899 [02 ],0,0,To be announced
1153,Fall 2012,CSC 899 [03 ],0,0,To be announced
1154,Spring 2013,CSC 210 [01 ],41,40,Teague Sterling
1155,Spring 2013,CSC 210 [02 ],40,40,Jd Roberts
1156,Spring 2013,CSC 210 [03 ],39,40,Marc Sosnick
1157,Spring 2013,CSC 210 [04 ],41,40,Marc Sosnick
1158,Spring 2013,CSC 211 [01 ],41,40,Chin Wong
1159,Spring 2013,CSC 220 [01 ],46,40,Chin Wong
1160,Spring 2013,CSC 220 [02 ],46,40,Chin Wong
1161,Spring 2013,CSC 230 [01 ],46,40,Kazunori Okada
1162,Spring 2013,CSC 230 [02 ],41,40,Daniel Tomasevich
1163,Spring 2013,CSC 256 [01 ],47,40,Serge Volkoff
1164,Spring 2013,CSC 300GW [01 ],25,25,Daniel Tomasevich
1165,Spring 2013,CSC 300GW [02 ],28,25,Daniel Tomasevich
1166,Spring 2013,CSC 309 [01 ],41,40,Jd Roberts
1167,Spring 2013,CSC 340 [01 ],37,40,Jozo Dujmovic
1168,Spring 2013,CSC 340 [02 ],21,40,Jozo Dujmovic
1169,Spring 2013,CSC 413 [01 ],35,40,Ilmi Yoon
1170,Spring 2013,CSC 413 [02 ],34,40,Ilmi Yoon
1171,Spring 2013,CSC 415 [01 ],46,40,Marguerite Murphy
1172,Spring 2013,CSC 510 [01 ],39,40,Robert Wall
1173,Spring 2013,CSC 520 [01 ],37,40,Robert Wall
1174,Spring 2013,CSC 600 [01 ],38,40,Jozo Dujmovic
1175,Spring 2013,CSC 615 [01 ],19,25,Marguerite Murphy
1176,Spring 2013,CSC 621 [01 ],20,15,Kazunori Okada
1177,Spring 2013,CSC 631 [01 ],18,15,Ilmi Yoon
1178,Spring 2013,CSC 640 [01 ],23,25,Marc Sosnick
1179,Spring 2013,CSC 668 [01 ],9,15,Barry Levine
1180,Spring 2013,CSC 693 [01 ],0,25,Dragutin Petkovic
1181,Spring 2013,CSC 693 [02 ],0,25,Dragutin Petkovic
1182,Spring 2013,CSC 694 [01 ],1,15,Dragutin Petkovic
1183,Spring 2013,CSC 694 [02 ],0,15,Dragutin Petkovic
1184,Spring 2013,CSC 694 [03 ],0,15,Dragutin Petkovic
1185,Spring 2013,CSC 695 [01 ],18,25,Barry Levine
1186,Spring 2013,CSC 699 [01 ],0,5,To be announced
1187,Spring 2013,CSC 699 [02 ],2,5,Dragutin Petkovic
1188,Spring 2013,CSC 730 [01 ],16,15,Marguerite Murphy
1189,Spring 2013,CSC 746 [01 ],17,15,Tsun-Yuk Hsu
1190,Spring 2013,CSC 780 [01 ],15,15,Arno Puder
1191,Spring 2013,CSC 810 [01 ],15,25,Chin Wong
1192,Spring 2013,CSC 821 [01 ],5,10,Kazunori Okada
1193,Spring 2013,CSC 831 [01 ],9,10,Ilmi Yoon
1194,Spring 2013,CSC 848 [01 ],11,10,Marc Sosnick
1195,Spring 2013,CSC 868 [01 ],12,15,Barry Levine
1196,Spring 2013,CSC 893 [01 ],2,35,Dragutin Petkovic
1197,Spring 2013,CSC 895 [01 ],0,5,To be announced
1198,Spring 2013,CSC 897 [01 ],0,5,To be announced
1199,Spring 2013,CSC 897 [02 ],0,5,To be announced
1200,Spring 2013,CSC 897 [03 ],0,5,To be announced
1201,Spring 2013,CSC 897 [04 ],0,5,To be announced
1202,Spring 2013,CSC 898 [01 ],0,5,To be announced
1203,Spring 2013,CSC 899 [01 ],0,0,To be announced
1204,Spring 2013,CSC 899 [02 ],1,0,Chin Wong
1205,Spring 2013,CSC 899 [03 ],0,0,To be announced
1206,Spring 2013,CSC 899 [02 ],1,0,Chin Wong
1207,Spring 2013,CSC 899 [03 ],0,0,To be announced
1208,Spring 2013,CSC 899 [02 ],1,0,Chin Wong
1209,Spring 2013,CSC 899 [03 ],0,0,To be announced
1210,Spring 2013,CSC 899 [02 ],1,0,Chin Wong
1211,Spring 2013,CSC 899 [03 ],0,0,To be announced
1212,Fall 2013,CSC 210 [01 ],45,40,Marc Sosnick
1213,Fall 2013,CSC 210 [02 ],43,40,Marc Sosnick
1214,Fall 2013,CSC 210 [03 ],39,40,Anagha Kulkarni
1215,Fall 2013,CSC 210 [04 ],43,40,Teague Sterling
1216,Fall 2013,CSC 210 [05 ],52,50,David Webster
1217,Fall 2013,CSC 211 [01 ],38,35,Chin Wong
1218,Fall 2013,CSC 220 [01 ],50,50,Chin Wong
1219,Fall 2013,CSC 220 [02 ],41,40,Chin Wong
1220,Fall 2013,CSC 220 [03 ],22,40,Cassidy Kelly
1221,Fall 2013,CSC 230 [01 ],46,40,Anagha Kulkarni
1222,Fall 2013,CSC 230 [02 ],63,50,Daniel Tomasevich
1223,Fall 2013,CSC 256 [01 ],67,70,Marc Sosnick
1224,Fall 2013,CSC 300GW [01 ],32,25,Daniel Tomasevich
1225,Fall 2013,CSC 300GW [02 ],30,25,Daniel Tomasevich
1226,Fall 2013,CSC 340 [01 ],35,60,Jozo Dujmovic
1227,Fall 2013,CSC 340 [02 ],44,40,Hui Yang
1228,Fall 2013,CSC 412 [01 ],25,45,Marc Sosnick
1229,Fall 2013,CSC 412 [02 ],37,45,Marc Sosnick
1230,Fall 2013,CSC 413 [01 ],23,33,Ilmi Yoon
1231,Fall 2013,CSC 413 [02 ],41,45,Ilmi Yoon
1232,Fall 2013,CSC 415 [01 ],56,60,Cassidy Kelly
1233,Fall 2013,CSC 510 [01 ],41,55,Robert Wall
1234,Fall 2013,CSC 520 [01 ],53,55,Robert Wall
1235,Fall 2013,CSC 600 [01 ],40,60,Jozo Dujmovic
1236,Fall 2013,CSC 640 [01 ],48,45,Marc Sosnick
1237,Fall 2013,CSC 641 [01 ],15,15,Jozo Dujmovic
1238,Fall 2013,CSC 667 [01 ],44,40,Jd Roberts
1239,Fall 2013,CSC 675 [01 ],29,15,Marguerite Murphy
1240,Fall 2013,CSC 694 [01 ],1,10,Dragutin Petkovic
1241,Fall 2013,CSC 694 [02 ],0,10,Dragutin Petkovic
1242,Fall 2013,CSC 694 [03 ],0,10,Dragutin Petkovic
1243,Fall 2013,CSC 699 [01 ],0,0,To be announced
1244,Fall 2013,CSC 699 [02 ],0,0,To be announced
1245,Fall 2013,CSC 699 [03 ],1,0,Jd Roberts
1246,Fall 2013,CSC 699 [05 ],0,5,Jozo Dujmovic
1247,Fall 2013,CSC 699 [06 ],0,5,Marguerite Murphy
1248,Fall 2013,CSC 699 [07 ],1,5,Dragutin Petkovic
1249,Fall 2013,CSC 699 [08 ],1,5,Arno Puder
1250,Fall 2013,CSC 699 [09 ],0,5,Rahul Singh
1251,Fall 2013,CSC 699 [10 ],0,5,Chin Wong
1252,Fall 2013,CSC 699 [11 ],1,5,Hui Yang
1253,Fall 2013,CSC 699 [12 ],1,5,Ilmi Yoon
1254,Fall 2013,CSC 699 [13 ],2,5,Tsun-Yuk Hsu
1255,Fall 2013,CSC 699 [14 ],1,5,Marc Sosnick
1256,Fall 2013,CSC 699 [15 ],0,5,To be announced
1257,Fall 2013,CSC 720 [01 ],9,20,Arno Puder
1258,Fall 2013,CSC 775 [01 ],7,10,Marguerite Murphy
1259,Fall 2013,CSC 810 [01 ],14,20,Chin Wong
1260,Fall 2013,CSC 841 [01 ],5,10,Jozo Dujmovic
1261,Fall 2013,CSC 848 [01 ],9,25,Marc Sosnick
1262,Fall 2013,CSC 857 [01 ],15,15,Rahul Singh
1263,Fall 2013,CSC 867 [01 ],22,20,Jd Roberts
1264,Fall 2013,CSC 875 [01 ],10,10,Marguerite Murphy
1265,Fall 2013,CSC 890 [01 ],16,15,Hui Yang
1266,Fall 2013,CSC 893 [01 ],4,30,Dragutin Petkovic
1267,Fall 2013,CSC 895 [01 ],0,0,To be announced
1268,Fall 2013,CSC 897 [01 ],0,0,Rahul Singh
1269,Fall 2013,CSC 897 [02 ],1,0,Kazunori Okada
1270,Fall 2013,CSC 897 [03 ],0,0,To be announced
1271,Fall 2013,CSC 898 [01 ],0,0,To be announced
1272,Fall 2013,CSC 899 [01 ],0,0,To be announced
1273,Fall 2013,CSC 899 [02 ],0,0,To be announced
1274,Fall 2013,CSC 899 [03 ],0,0,To be announced
1275,Fall 2013,CSC 857 [01 ],15,15,Rahul Singh
1276,Fall 2013,CSC 867 [01 ],22,20,Jd Roberts
1277,Fall 2013,CSC 875 [01 ],10,10,Marguerite Murphy
1278,Fall 2013,CSC 890 [01 ],16,15,Hui Yang
1279,Fall 2013,CSC 893 [01 ],4,30,Dragutin Petkovic
1280,Fall 2013,CSC 895 [01 ],0,0,To be announced
1281,Fall 2013,CSC 897 [01 ],0,0,Rahul Singh
1282,Fall 2013,CSC 897 [02 ],1,0,Kazunori Okada
1283,Fall 2013,CSC 897 [03 ],0,0,To be announced
1284,Fall 2013,CSC 898 [01 ],0,0,To be announced
1285,Fall 2013,CSC 899 [01 ],0,0,To be announced
1286,Fall 2013,CSC 899 [02 ],0,0,To be announced
1287,Fall 2013,CSC 899 [03 ],0,0,To be announced
1288,Fall 2013,CSC 857 [01 ],15,15,Rahul Singh
1289,Fall 2013,CSC 867 [01 ],22,20,Jd Roberts
1290,Fall 2013,CSC 875 [01 ],10,10,Marguerite Murphy
1291,Fall 2013,CSC 890 [01 ],16,15,Hui Yang
1292,Fall 2013,CSC 893 [01 ],4,30,Dragutin Petkovic
1293,Fall 2013,CSC 895 [01 ],0,0,To be announced
1294,Fall 2013,CSC 897 [01 ],0,0,Rahul Singh
1295,Fall 2013,CSC 897 [02 ],1,0,Kazunori Okada
1296,Fall 2013,CSC 897 [03 ],0,0,To be announced
1297,Fall 2013,CSC 898 [01 ],0,0,To be announced
1298,Fall 2013,CSC 899 [01 ],0,0,To be announced
1299,Fall 2013,CSC 899 [02 ],0,0,To be announced
1300,Fall 2013,CSC 899 [03 ],0,0,To be announced
1301,Fall 2013,CSC 857 [01 ],15,15,Rahul Singh
1302,Fall 2013,CSC 867 [01 ],22,20,Jd Roberts
1303,Fall 2013,CSC 875 [01 ],10,10,Marguerite Murphy
1304,Fall 2013,CSC 890 [01 ],16,15,Hui Yang
1305,Fall 2013,CSC 893 [01 ],4,30,Dragutin Petkovic
1306,Fall 2013,CSC 895 [01 ],0,0,To be announced
1307,Fall 2013,CSC 897 [01 ],0,0,Rahul Singh
1308,Fall 2013,CSC 897 [02 ],1,0,Kazunori Okada
1309,Fall 2013,CSC 897 [03 ],0,0,To be announced
1310,Fall 2013,CSC 898 [01 ],0,0,To be announced
1311,Fall 2013,CSC 899 [01 ],0,0,To be announced
1312,Fall 2013,CSC 899 [02 ],0,0,To be announced
1313,Fall 2013,CSC 899 [03 ],0,0,To be announced
1314,Spring 2014,CSC 210 [01 ],45,40,Anagha Kulkarni
1315,Spring 2014,CSC 210 [02 ],61,60,Anagha Kulkarni
1316,Spring 2014,CSC 210 [03 ],57,60,Ilmi Yoon
1317,Spring 2014,CSC 210 [04 ],49,50,Arthur Vigil
1318,Spring 2014,CSC 211 [01 ],41,40,Chin Wong
1319,Spring 2014,CSC 220 [01 ],39,40,Chin Wong
1320,Spring 2014,CSC 220 [02 ],42,40,Chin Wong
1321,Spring 2014,CSC 220 [03 ],42,40,Arthur Vigil
1322,Spring 2014,CSC 230 [01 ],53,50,Daniel Tomasevich
1323,Spring 2014,CSC 230 [02 ],64,50,Daniel Tomasevich
1324,Spring 2014,CSC 256 [01 ],64,70,Marc Sosnick
1325,Spring 2014,CSC 256 [02 ],18,40,Marc Sosnick
1326,Spring 2014,CSC 300GW [01 ],38,25,Daniel Tomasevich
1327,Spring 2014,CSC 300GW [02 ],25,25,Daniel Tomasevich
1328,Spring 2014,CSC 309 [01 ],37,40,Cassidy Kelly
1329,Spring 2014,CSC 340 [01 ],64,60,Jozo Dujmovic
1330,Spring 2014,CSC 340 [02 ],46,40,Hui Yang
1331,Spring 2014,CSC 412 [01 ],27,40,Marc Sosnick
1332,Spring 2014,CSC 412 [02 ],26,40,Marc Sosnick
1333,Spring 2014,CSC 413 [01 ],40,50,Barry Levine
1334,Spring 2014,CSC 413 [02 ],26,50,Barry Levine
1335,Spring 2014,CSC 415 [01 ],50,60,Cassidy Kelly
1336,Spring 2014,CSC 510 [01 ],43,40,Robert Wall
1337,Spring 2014,CSC 520 [01 ],43,55,Robert Wall
1338,Spring 2014,CSC 600 [01 ],43,40,Jozo Dujmovic
1339,Spring 2014,CSC 631 [01 ],29,30,Ilmi Yoon
1340,Spring 2014,CSC 640 [01 ],36,45,Marc Sosnick
1341,Spring 2014,CSC 667 [01 ],25,25,Jd Roberts
1342,Spring 2014,CSC 668 [01 ],24,25,Barry Levine
1343,Spring 2014,CSC 693 [01 ],0,25,Dragutin Petkovic
1344,Spring 2014,CSC 693 [01 ],0,25,Dragutin Petkovic
1345,Spring 2014,CSC 694 [01 ],0,15,Dragutin Petkovic
1346,Spring 2014,CSC 694 [01 ],0,15,Dragutin Petkovic
1347,Spring 2014,CSC 694 [01 ],1,15,Dragutin Petkovic
1348,Spring 2014,CSC 695 [01 ],9,25,Barry Levine
1349,Spring 2014,CSC 699 [01 ],1,5,Dragutin Petkovic
1350,Spring 2014,CSC 699 [01 ],0,5,To be announced
1351,Spring 2014,CSC 730 [01 ],13,10,Marguerite Murphy
1352,Spring 2014,CSC 746 [01 ],14,15,Marc Sosnick
1353,Spring 2014,CSC 780 [01 ],20,20,Arno Puder
1354,Spring 2014,CSC 810 [01 ],14,15,Chin Wong
1355,Spring 2014,CSC 831 [01 ],6,10,Ilmi Yoon
1356,Spring 2014,CSC 840 [01 ],9,10,Jozo Dujmovic
1357,Spring 2014,CSC 848 [01 ],10,15,Marc Sosnick
1358,Spring 2014,CSC 867 [01 ],5,5,Jd Roberts
1359,Spring 2014,CSC 868 [01 ],14,15,Barry Levine
1360,Spring 2014,CSC 869 [01 ],15,15,Hui Yang
1361,Spring 2014,CSC 890 [01 ],7,10,Rahul Singh
1362,Spring 2014,CSC 893 [01 ],3,35,Dragutin Petkovic
1363,Spring 2014,CSC 895 [01 ],0,5,To be announced
1364,Spring 2014,CSC 897 [01 ],0,5,To be announced
1365,Spring 2014,CSC 897 [01 ],0,5,To be announced
1366,Spring 2014,CSC 897 [01 ],0,5,To be announced
1367,Spring 2014,CSC 897 [01 ],1,5,Tsun-Yuk Hsu
1368,Spring 2014,CSC 898 [01 ],0,5,To be announced
1369,Spring 2014,CSC 899 [01 ],0,0,To be announced
1370,Spring 2014,CSC 899 [01 ],0,0,To be announced
1371,Spring 2014,CSC 899 [01 ],0,0,To be announced
1372,Spring 2014,CSC 897 [01 ],0,5,To be announced
1373,Spring 2014,CSC 897 [01 ],0,5,To be announced
1374,Spring 2014,CSC 897 [01 ],0,5,To be announced
1375,Spring 2014,CSC 897 [01 ],1,5,Tsun-Yuk Hsu
1376,Spring 2014,CSC 898 [01 ],0,5,To be announced
1377,Spring 2014,CSC 899 [01 ],0,0,To be announced
1378,Spring 2014,CSC 899 [01 ],0,0,To be announced
1379,Spring 2014,CSC 899 [01 ],0,0,To be announced
1380,Spring 2014,CSC 897 [01 ],0,5,To be announced
1381,Spring 2014,CSC 897 [01 ],0,5,To be announced
1382,Spring 2014,CSC 897 [01 ],0,5,To be announced
1383,Spring 2014,CSC 897 [01 ],1,5,Tsun-Yuk Hsu
1384,Spring 2014,CSC 898 [01 ],0,5,To be announced
1385,Spring 2014,CSC 899 [01 ],0,0,To be announced
1386,Spring 2014,CSC 899 [01 ],0,0,To be announced
1387,Spring 2014,CSC 899 [01 ],0,0,To be announced
1388,Spring 2014,CSC 897 [01 ],0,5,To be announced
1389,Spring 2014,CSC 897 [01 ],0,5,To be announced
1390,Spring 2014,CSC 897 [01 ],0,5,To be announced
1391,Spring 2014,CSC 897 [01 ],1,5,Tsun-Yuk Hsu
1392,Spring 2014,CSC 898 [01 ],0,5,To be announced
1393,Spring 2014,CSC 899 [01 ],0,0,To be announced
1394,Spring 2014,CSC 899 [01 ],0,0,To be announced
1395,Spring 2014,CSC 899 [01 ],0,0,To be announced
1396,Fall 2014,CSC 210 [01 ],67,70,$150.00 
1397,Fall 2014,CSC 210 [02 ],69,70,$150.00 
1398,Fall 2014,CSC 210 [03 ],67,70,Teague Sterling
1399,Fall 2014,CSC 210 [04 ],67,70,Arthur Vigil
1400,Fall 2014,CSC 210 [05 ],33,70,$150.00 
1401,Fall 2014,CSC 211 [01 ],43,45,Chin Wong
1402,Fall 2014,CSC 220 [01 ],32,40,$165.75 
1403,Fall 2014,CSC 220 [02 ],44,45,$83.00 
1404,Fall 2014,CSC 220 [03 ],44,40,$83.00 
1405,Fall 2014,CSC 230 [01 ],57,50,$157.75 
1406,Fall 2014,CSC 230 [02 ],45,45,$178.00 
1407,Fall 2014,CSC 230 [03 ],34,50,$157.75 
1408,Fall 2014,CSC 256 [01 ],46,45,$89.95 
1409,Fall 2014,CSC 256 [02 ],55,60,$89.95 
1410,Fall 2014,CSC 300GW [01 ],26,25,$117.25 
1411,Fall 2014,CSC 300GW [02 ],26,25,$58.75 
1412,Fall 2014,CSC 300GW [03 ],27,25,Daniel Tomasevich
1413,Fall 2014,CSC 340 [01 ],61,60,$163.75 
1414,Fall 2014,CSC 340 [02 ],41,40,$161.00 
1415,Fall 2014,CSC 340 [03 ],39,40,Jozo Dujmovic
1416,Fall 2014,CSC 412 [01 ],26,45,Anthony Souza
1417,Fall 2014,CSC 412 [03 ],34,45,Anthony Souza
1418,Fall 2014,CSC 413 [01 ],43,45,$37.75 
1419,Fall 2014,CSC 413 [02 ],61,65,$39.99 
1420,Fall 2014,CSC 415 [01 ],66,70,$52.00 
1421,Fall 2014,CSC 510 [01 ],52,61,$182.95 
1422,Fall 2014,CSC 510 [02 ],38,40,Robert Wall
1423,Fall 2014,CSC 520 [01 ],64,66,$236.00 
1424,Fall 2014,CSC 600 [01 ],21,45,$77.00 
1425,Fall 2014,CSC 600 [02 ],20,60,$60.00 
1426,Fall 2014,CSC 648 [01 ],20,45,Marc Sosnick
1427,Fall 2014,CSC 650 [01 ],25,50,$79.99 
1428,Fall 2014,CSC 667 [01 ],26,30,Jd Roberts
1429,Fall 2014,CSC 675 [01 ],17,15,$215.50 
1430,Fall 2014,CSC 690 [01 ],29,45,Tsun-Yuk Hsu
1431,Fall 2014,CSC 694 [01 ],0,10,Dragutin Petkovic
1432,Fall 2014,CSC 746 [01 ],13,45,$74.95 
1433,Fall 2014,CSC 775 [01 ],11,10,$87.75 
